V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,PID,psid,K2,project,gc,term,Q_TotalDuration,med,Q15,Q19,Q20,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q1_9,Q1_10,Q1_11,Q1_12,Q1_13,Q1_14,Q1_15,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_7,Q21_8,Q21_9,Q21_10,Q21_11,Q21_12,Q21_13,Q21_14,Q21_15,Q21_16,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q23_7,Q23_8,Q23_9,Q23_10,Q23_11,Q23_12,Q23_13,Q23_x1,Q23_x2,Q23_x3,Q23_x4,Q23_x5,Q23_x6,Q23_x7,Q23_x8,Q23_x9,Q23_x10,Q23_x16,Q23_x11,Q23_x12,Q23_x13,Q23_x14,Q23_x15,Q5,Q6,Q10,Q11,Q12,Q13,Q14,Q15,Q16,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,PID,psid,K2,project,gc,term,Q_TotalDuration,med,  /  /  Dear /  Participants: /  /    /  /    /  /  My name is /  Wenhao Zhang and I am a graduate student at Kansas...,Do you agree on participating on the survey?,Do you work as a full-time food and beverage server at a / full-service restaurant? (i.e. Red Loste...,  /  Please select /  the response that most closely reflects your current /  or most recent job experi...-I like to juggle several activities at the same time.,  /  Please select /  the response that most closely reflects your current /  or most recent job experi...-I would rather complete parts of several tasks every day than complete an entire task.,  /  Please select /  the response that most closely reflects your current /  or most recent job experi...-I believe people should try to do many things at once.,  /  Please select /  the response that most closely reflects your current /  or most recent job experi...-I believe people do their best work when they have many tasks to do.,  /  Please select /  the response that most closely reflects your current /  or most recent job experi...-I believe it is best for people to be given several tasks and assignments to perform at the same time.,  /  Please select /  the response that most closely reflects your current /  or most recent job experi...-I prefer to do one thing at a time.,  /  Please select /  the response that most closely reflects your current /  or most recent job experi...-I believe it is best to complete one task before beginning another.,  /  Please select /  the response that most closely reflects your current /  or most recent job experi...-I would rather complete all procedures every day than complete parts of several procedures.,  /  Please select /  the response that most closely reflects your current /  or most recent job experi...-I seldom like to work on more than a single task or assignment at the same time.,"  /  Please select /  the response that most closely reflects your current /  or most recent job experi...-When I work by myself, I usually work on one task at a time.",  /  Please select /  the response that most closely reflects your current /  or most recent job experi...-I consider my job pleasant.,  /  Please select /  the response that most closely reflects your current /  or most recent job experi...-I feel fairly well satisfied with my present job.,  /  Please select /  the response that most closely reflects your current /  or most recent job experi...-I definitely like my work.,  /  Please select /  the response that most closely reflects your current /  or most recent job experi...-My job is interesting.,  /  Please select /  the response that most closely reflects your current /  or most recent job experi...-I find real enjoyment in my work.,"Please select /  the response that most closely reflects your current /  or most recent job experienc...-When I get up in the morning, I feel like going to work.","Please select /  the response that most closely reflects your current /  or most recent job experienc...-At my work, I feel bursting with energy.","Please select /  the response that most closely reflects your current /  or most recent job experienc...-At my work I always persevere, even when things do not go well.",Please select /  the response that most closely reflects your current /  or most recent job experienc...-My job inspires me.,Please select /  the response that most closely reflects your current /  or most recent job experienc...-I get carried away when I am working.,Please select /  the response that most closely reflects your current /  or most recent job experienc...-I am enthusiastic about my job.,Please select /  the response that most closely reflects your current /  or most recent job experienc...-I am proud of the work that I do.,Please select /  the response that most closely reflects your current /  or most recent job experienc...-I am immersed in my work.,Please select /  the response that most closely reflects your current /  or most recent job experienc...-I feel happy when I am working intensely.,Please select /  the response that most closely reflects your current /  or most recent job experienc...-I often think about leaving my job.,Please select /  the response that most closely reflects your current /  or most recent job experienc...-I would leave if I could find a better paying job.,Please select /  the response that most closely reflects your current /  or most recent job experienc...-I am looking for a better job right now.,Please select /  the response that most closely reflects your current /  or most recent job experienc...-It is very likely that I will actively look for a new job in the next year.,Please select /  the response that most closely reflects your current /  or most recent job experienc...-I will leave this organization in the next year.,Please select /  the response that most closely reflects your current /  or most recent job experienc...-I sometimes think about changing jobs.,"Please select /  the response that most closely reflects your current /  or most recent job experienc...-For quality purposes, please select ""Somewhat Agree""",Please select /  the response that most closely reflects your current /  or most recent job experienc...-I am a top performer.,Please select /  the response that most closely reflects your current /  or most recent job experienc...-I average higher sales per check than other servers.,Please select /  the response that most closely reflects your current /  or most recent job experienc...-I am in the top 10 percent of servers here.,Please select /  the response that most closely reflects your current /  or most recent job experienc...-I get along better with customers than do others.,Please select /  the response that most closely reflects your current /  or most recent job experienc...-I know more about menu items.,Please select /  the response that most closely reflects your current /  or most recent job experienc...-I know what my customers expect.,Please select /  the response that most closely reflects your current /  or most recent job experienc...-I get better tips than most.,"Please select /  the response that most closely reflects your current /  or most recent job experienc...-When someone criticizes our restaurant, it feels like a personal insult.",Please select /  the response that most closely reflects your current /  or most recent job experienc...-I am very interested in what others think about our restaurant.,"Please select /  the response that most closely reflects your current /  or most recent job experienc...-When I talk about our restaurant, I usually say “we” rather than “they”.",Please select /  the response that most closely reflects your current /  or most recent job experienc...-Our restaurant’s success is my success.,"Please select /  the response that most closely reflects your current /  or most recent job experienc...-If a story in the media were to criticize our restaurant, I would feel embarrassed.",Please select /  the response that most closely reflects your current /  or most recent job experienc...-People in my community think highly of our restaurant.,"Please select /  the response that most closely reflects your current /  or most recent job experienc...-When I get up in the morning, I feel like going to work.","Please select /  the response that most closely reflects your current /  or most recent job experienc...-At my work, I feel bursting with energy.","Please select /  the response that most closely reflects your current /  or most recent job experienc...-At my work I always persevere, even when things do not go well.",Please select /  the response that most closely reflects your current /  or most recent job experienc...-My job inspires me.,Please select /  the response that most closely reflects your current /  or most recent job experienc...-I get carried away when I am working.,Please select /  the response that most closely reflects your current /  or most recent job experienc...-I am enthusiastic about my job.,Please select /  the response that most closely reflects your current /  or most recent job experienc...-I am proud of the work that I do.,Please select /  the response that most closely reflects your current /  or most recent job experienc...-I am immersed in my work.,Please select /  the response that most closely reflects your current /  or most recent job experienc...-I feel happy when I am working intensely.,Please select /  the response that most closely reflects your current /  or most recent job experienc...-I often think about leaving my job.,"Please select /  the response that most closely reflects your current /  or most recent job experienc...-For quality purposes, please select ""Somewhat Agree""",Please select /  the response that most closely reflects your current /  or most recent job experienc...-I would leave if I could find a better paying job.,Please select /  the response that most closely reflects your current /  or most recent job experienc...-I am looking for a better job right now.,Please select /  the response that most closely reflects your current /  or most recent job experienc...-It is very likely that I will actively look for a new job in the next year.,Please select /  the response that most closely reflects your current /  or most recent job experienc...-I will leave this organization in the next year.,Please select /  the response that most closely reflects your current /  or most recent job experienc...-I sometimes think about changing jobs.,Please answer the /  following items /  by selecting the option that applies to /  you . ,What is your current age?,What is your gender?,Which of the following best describes your ethnicity?,What is your marital status?,What is your highest educational level?,"Do you work part-time, full-time or more than one job?",How long have you worked in this restaurant?,What is your individual annual income? ,LocationLatitude,LocationLongitude,LocationAccuracy,
R_2mMo85zjPRu5Opn,Default Response Set,Anonymous,,,71.31.46.30,0,2015-03-05 12:46:27,2015-03-05 12:48:59,1,1217355803,NxiZSfrovz11KqgT_rDr8A**,11808,Qual724-0219FoodBeverageServers,1,,152,18296857707282,1,1,1,7,6,6,5,6,6,7,7,6,5,4,5,4,6,5,5,6,7,6,5,4,5,6,7,6,4,5,6,7,6,5,7,6,5,6,5,4,5,6,7,6,5,4,5,,,,,,,,,,,,,,,,,1,2,2,4,3,1,2,2,1,37.048004150391,-83.848503112793,-1,
R_bCP19DEHBe3IULP,Default Response Set,Anonymous,,,50.254.97.53,0,2015-03-05 12:55:05,2015-03-05 12:56:37,1,1273442057,NxiZSfrovz1cMTgu5WmW8g**,11808,Qual724-0219FoodBeverageServers,1,,92,19139834104902,1,1,1,3,4,5,5,5,4,4,4,4,5,4,4,5,5,5,5,6,5,5,6,5,5,6,5,5,6,5,5,4,5,5,4,5,5,5,5,4,5,5,4,5,5,5,5,,,,,,,,,,,,,,,,,1,4,2,5,4,6,2,4,4,29.741897583008,-95.564300537109,-1,
R_7URacFQPZ6JnFDn,Default Response Set,Anonymous,,,67.180.237.182,0,2015-03-05 12:55:03,2015-03-05 13:02:33,1,1208541206,NxiZSfrovz0a5wZWRDECcQ**,11808,Qual724-0219FoodBeverageServers,1,,450,18164374314372,1,1,1,6,2,5,6,6,3,3,7,2,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,5,6,6,6,6,5,7,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,,1,4,1,4,1,6,2,3,5,37.54020690918,-122.30410003662,-1,
R_doIzH5ivh753qMB,Default Response Set,Anonymous,,,172.164.25.217,0,2015-03-05 13:10:29,2015-03-05 13:13:13,1,1273896999,NxiZSfrovz2AgmmWfTzTyA**,11808,Qual724-0219FoodBeverageServers,1,,164,19146671883162,1,1,1,7,7,7,7,6,7,6,5,6,7,6,7,6,7,7,7,6,7,7,5,7,6,7,7,6,6,7,7,7,7,5,5,6,6,7,7,6,5,5,6,7,7,7,5,,,,,,,,,,,,,,,,,1,2,1,4,1,8,2,2,5,38,-97,-1,
R_9NabLGxYtdZrZbf,Default Response Set,Anonymous,,,107.15.178.239,0,2015-03-05 13:38:15,2015-03-05 13:42:47,1,1224277061,NxiZSfrovz3SoHOYYf4MDQ**,11808,Qual724-0219FoodBeverageServers,1,,272,18400884215022,1,1,1,5,1,2,2,3,5,6,6,6,6,6,6,7,6,6,6,5,6,6,1,6,6,6,6,1,2,2,6,1,2,5,6,5,6,5,7,6,4,3,4,5,4,5,6,,,,,,,,,,,,,,,,,1,4,1,4,3,2,2,5,5,35.54460144043,-78.830902099609,-1,
R_eQIdLasvwuf6T7T,Default Response Set,Anonymous,,,66.30.156.123,0,2015-03-05 13:52:59,2015-03-05 13:56:44,1,1183771836,NxiZSfrovz35F9Co0Q0MAQ**,11808,Qual724-0219FoodBeverageServers,1,,225,17792090683272,1,1,1,7,6,6,6,6,6,5,6,6,6,7,6,7,7,7,6,6,7,7,6,6,7,7,6,7,6,7,6,5,6,5,6,5,6,5,5,5,5,6,6,6,5,5,5,,,,,,,,,,,,,,,,,1,2,1,4,1,6,2,4,5,42.033493041992,-70.942901611328,-1,
R_0TCDBZ84fJsYAjr,Default Response Set,Anonymous,,,173.18.179.179,0,2015-03-05 13:58:35,2015-03-05 14:03:28,1,1219853074,NxiZSfrovz0SXssshcdYoA**,11808,Qual724-0219FoodBeverageServers,1,,293,18334391690412,1,1,1,7,7,6,6,6,7,7,7,7,7,6,6,6,6,6,7,7,7,7,6,6,6,6,7,7,6,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,6,6,,,,,,,,,,,,,,,,,1,3,1,4,1,4,2,4,6,36.697692871094,-87.452697753906,-1,
R_54lRRpMDY67gn53,Default Response Set,Anonymous,,,192.225.164.109,0,2015-03-05 14:04:42,2015-03-05 14:06:19,1,1268588904,NxiZSfrovz2hWjV-cqZuPQ**,11808,Qual724-0219FoodBeverageServers,1,,97,19066891215312,1,1,1,6,5,6,6,5,6,5,6,5,6,5,6,5,6,5,6,5,5,6,6,6,5,5,6,6,5,6,5,6,5,5,6,5,6,5,6,5,6,5,6,5,5,6,5,,,,,,,,,,,,,,,,,1,2,2,4,1,6,2,4,6,40.751693725586,-73.997200012207,-1,
R_2browaeI6MxD7Ap,Default Response Set,Anonymous,,,47.20.156.117,0,2015-03-05 14:10:28,2015-03-05 14:12:09,1,1259172324,NxiZSfrovz1vm7jkJhGj6g**,11808,Qual724-0219FoodBeverageServers,1,,101,18925360017912,1,1,1,6,5,5,5,6,6,6,6,6,5,6,6,6,6,5,6,5,5,6,6,6,6,6,5,5,6,6,5,6,5,5,6,5,6,6,6,6,6,6,6,6,6,6,6,,,,,,,,,,,,,,,,,1,3,1,5,1,6,2,4,5,40.595306396484,-74.617301940918,-1,
